رقم القيد الأصلي (قيود),التاريخ,البيان,رقم الحساب القديم,اسم الحساب,مدين,دائن,ملاحظة السطر
19,2024-06-20,قيد يدوي رقم 19 - أنشئ بواسطة محاسب ارمي,1204,مشروعات تحت التنفيذ,,345495.0,تم تحويلها 2023
19,2024-06-20,قيد يدوي رقم 19 - أنشئ بواسطة محاسب ارمي,110102,عهدة سالم,,2823.0,فحص جمركي 
19,2024-06-20,قيد يدوي رقم 19 - أنشئ بواسطة محاسب ارمي,110102,عهدة سالم,,15615.19,رسو بيان جمركي 
65,2024-06-25,قيد يدوي رقم 65 - أنشئ بواسطة محاسب ارمي,1204,مشروعات تحت التنفيذ,271.0,,
65,2024-06-25,قيد يدوي رقم 65 - أنشئ بواسطة محاسب ارمي,110102,عهدة سالم,,271.0,
73,2024-06-27,قيد يدوي رقم 73 - أنشئ بواسطة محاسب ارمي,1204,مشروعات تحت التنفيذ,114000.0,,اعمال الدفاع المدني  اعمال جمال 
73,2024-06-27,قيد يدوي رقم 73 - أنشئ بواسطة محاسب ارمي,1204,مشروعات تحت التنفيذ,2000.0,,اعمال المعجون للمصنع 
73,2024-06-27,قيد يدوي رقم 73 - أنشئ بواسطة محاسب ارمي,1204,مشروعات تحت التنفيذ,10000.0,,اعمال مقاولات عبده 
73,2024-06-27,قيد يدوي رقم 73 - أنشئ بواسطة محاسب ارمي,110102,عهدة سالم,,2000.0,اعمال المعجون للمصنع 
73,2024-06-27,قيد يدوي رقم 73 - أنشئ بواسطة محاسب ارمي,110102,عهدة سالم,,30000.0,اعمال الدفاع المدني  اعمال جمال 
73,2024-06-27,قيد يدوي رقم 73 - أنشئ بواسطة محاسب ارمي,110102,عهدة سالم,,30000.0,اعمال الدفاع المدني  اعمال جمال 
73,2024-06-27,قيد يدوي رقم 73 - أنشئ بواسطة محاسب ارمي,110102,عهدة سالم,,24000.0,اعمال الدفاع المدني  اعمال جمال 
73,2024-06-27,قيد يدوي رقم 73 - أنشئ بواسطة محاسب ارمي,110102,عهدة سالم,,30000.0,اعمال الدفاع المدني  اعمال جمال 
73,2024-06-27,قيد يدوي رقم 73 - أنشئ بواسطة محاسب ارمي,110102,عهدة سالم,,10000.0,اعمال مقاولات عبده 
143,2024-08-01,قيد يدوي رقم 143 - أنشئ بواسطة محاسب ارمي,1205,مصاريف التاسيس,24000.0,,رواتب احمد المصري 8 شهور 
143,2024-08-01,قيد يدوي رقم 143 - أنشئ بواسطة محاسب ارمي,1204,مشروعات تحت التنفيذ,62950.0,,دغعات للمقاولين ويوميات عمالة 
143,2024-08-01,قيد يدوي رقم 143 - أنشئ بواسطة محاسب ارمي,110102,عهدة سالم,,86950.0,
40,2024-08-07,قيد يدوي رقم 40 - أنشئ بواسطة محاسب ارمي,1204,مشروعات تحت التنفيذ,4150.0,,
40,2024-08-07,قيد يدوي رقم 40 - أنشئ بواسطة محاسب ارمي,110102,عهدة سالم,,4150.0,
39,2024-08-08,قيد يدوي رقم 39 - أنشئ بواسطة محاسب ارمي,1205,مصاريف التاسيس,1571.78,,
39,2024-08-08,قيد يدوي رقم 39 - أنشئ بواسطة محاسب ارمي,110102,عهدة سالم,,1571.78,
70,2024-08-14,قيد يدوي رقم 70 - أنشئ بواسطة محاسب ارمي,1204,مشروعات تحت التنفيذ,2000.0,,
70,2024-08-14,قيد يدوي رقم 70 - أنشئ بواسطة محاسب ارمي,110102,عهدة سالم,,2000.0,
83,2024-08-14,قيد يدوي رقم 83 - أنشئ بواسطة محاسب ارمي,1204,مشروعات تحت التنفيذ,31000.0,,اعمال الدفاع المدني  اعمال جمال  واكمال الباقي 
83,2024-08-14,قيد يدوي رقم 83 - أنشئ بواسطة محاسب ارمي,110102,عهدة سالم,,31000.0,اعمال الدفاع المدني  اعمال جمال  واكمال الباقي 
84,2024-08-14,قيد يدوي رقم 84 - أنشئ بواسطة محاسب ارمي,1204,مشروعات تحت التنفيذ,9500.0,,
84,2024-08-14,قيد يدوي رقم 84 - أنشئ بواسطة محاسب ارمي,110102,عهدة سالم,,9500.0,
